id,model_name,dataset,question,answer,ground_truth,prompt,human_verdict
68,alpaca-7b,hotpot_qa,who is the younger brother of The episode guest stars of The Hard Easy ,Brian Doyle-Murray is the younger brother of the episode guest stars Brian Doyle-Murray.,Bill Murray,"Please answer the following question given the following passages:
- Title: The Hard Easy (Adventure Time)
""The Hard Easy"" is the twenty-third episode of the fourth season of the American animated television series ""Adventure Time"". The episode was written and storyboarded by Tom Herpich and Skyler Page, from a story by Patrick McHale, Kent Osborne, and Pendleton Ward. It originally aired on Cartoon Network on October 1, 2012. The episode guest stars Brian Doyle-Murray as Prince Huge and Jonathan Katz as the Mudscamp elder.

- Title: Brian Doyle-Murray
Brian Doyle-Murray (born Brian Murray, October 31, 1945) is an American actor, voice artist, comedian and screenwriter. He is the older brother of actor/comedian Bill Murray, and the two have acted together in several films, including ""Caddyshack"", ""Scrooged"", ""Ghostbusters II"", ""The Razor's Edge"", and ""Groundhog Day"". He co-starred on the TBS sitcom on ""Sullivan & Son,"" where he played the foul-mouthed Hank Murphy. he also appeared in the Cartoon Network original animated series ""The Marvelous Misadventures of Flapjack"" as the surly Captain K'Nuckles and a pirate ghost, The Flying Dutchman from the Nickelodeon animated series, ""SpongeBob SquarePants"", he appears in a recurring role as Don Ehlert on the ABC sitcom ""The Middle"".
Question: who is the younger brother of The episode guest stars of The Hard Easy 
Answer: ",incorrect
263,alpaca-7b,hotpot_qa,"Which character does this protagonist, who secretly loves and marries a member of the rival house, of William Shakespeare's tragedy that has a fictional character Benvolio slay?",Romeo.,Tybalt,"Please answer the following question given the following passages:
- Title: Benvolio
Benvolio is a fictional character in Shakespeare's drama ""Romeo and Juliet"". He is Montague's nephew and Romeo's cousin. Benvolio serves as an unsuccessful peacemaker in the play, attempting to prevent violence between the Capulet and Montague families.

- Title: Romeo
Romeo Montague (Italian: ""Romeo Montecchi"" ) is the protagonist of William Shakespeare's tragedy ""Romeo and Juliet"". The son of Montague and his wife, he secretly loves and marries Juliet, a member of the rival House of Capulet. Forced into exile after slaying Juliet's cousin, Tybalt, in a duel, Romeo commits suicide upon hearing falsely of Juliet's death.

- Title: Romeo
Romeo Montague (Italian: ""Romeo Montecchi"" ) is the protagonist of William Shakespeare's tragedy ""Romeo and Juliet"". The son of Montague and his wife, he secretly loves and marries Juliet, a member of the rival House of Capulet. Forced into exile after slaying Juliet's cousin, Tybalt, in a duel, Romeo commits suicide upon hearing falsely of Juliet's death.

- Title: Romeo
Romeo Montague (Italian: ""Romeo Montecchi"" ) is the protagonist of William Shakespeare's tragedy ""Romeo and Juliet"". The son of Montague and his wife, he secretly loves and marries Juliet, a member of the rival House of Capulet. Forced into exile after slaying Juliet's cousin, Tybalt, in a duel, Romeo commits suicide upon hearing falsely of Juliet's death.
Question: Which character does this protagonist, who secretly loves and marries a member of the rival house, of William Shakespeare's tragedy that has a fictional character Benvolio slay?
Answer: ",incorrect
279,alpaca-7b,hotpot_qa,What type of magazine is Eugene Habecker the chairman of?,Christianity Today magazine.,evangelical Christian periodical,"Please answer the following question given the following passages:
- Title: Eugene Habecker
Dr. Eugene B. Habecker is the 30th president of Taylor University and chairman of Christianity Today. Previously, Habecker was president of the American Bible Society. He is also the author of several books, two coauthored with his wife, Marylou Habecker. He was inaugurated in a ceremony on Friday, April 28, 2006, in Odle Arena on the Upland campus, only two days after a tragic fatal car accident involving several students and employees.

- Title: Christianity Today
Christianity Today magazine is an evangelical Christian periodical that was founded in 1956 and is based in Carol Stream, Illinois. ""The Washington Post"" calls ""Christianity Today,"" ""evangelicalism’s flagship magazine""; ""The New York Times"" describes it as a ""mainstream evangelical magazine.""
Question: What type of magazine is Eugene Habecker the chairman of?
Answer: ",incorrect
317,alpaca-7b,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County.,Oldham County,"Please answer the following question given the following passages:
- Title: Lake Louisvilla, Louisville
Lake Louisvilla is a neighborhood partially located in Louisville, Kentucky. It is located between Westport Road in Louisville and KY 22 in Oldham County. Lake Louisvilla was developed in the 1920s as a summer resort for people living in the city of Louisville. The state of Kentucky drained the lake in the late 1980s due to safety concerns regarding the stability of a dam.

- Title: Lake Louisvilla, Louisville
Lake Louisvilla is a neighborhood partially located in Louisville, Kentucky. It is located between Westport Road in Louisville and KY 22 in Oldham County. Lake Louisvilla was developed in the 1920s as a summer resort for people living in the city of Louisville. The state of Kentucky drained the lake in the late 1980s due to safety concerns regarding the stability of a dam.

- Title: Oldham County, Kentucky
Oldham County is a county located in the commonwealth of Kentucky. As of the 2010 census, the population was 60,316. Its county seat is La Grange. The county is named for Colonel William Oldham. Oldham County was a prohibition or completely dry county until January 2005 as the result of a 2004 'moist' vote, permitting sales of alcohol in restaurants that seat at least 100 patrons in which 70%+ of total revenue is derived from sales of food. After a vote in late 2015; Oldham county has become a completely wet county.

- Title: Oldham County, Kentucky
Oldham County is a county located in the commonwealth of Kentucky. As of the 2010 census, the population was 60,316. Its county seat is La Grange. The county is named for Colonel William Oldham. Oldham County was a prohibition or completely dry county until January 2005 as the result of a 2004 'moist' vote, permitting sales of alcohol in restaurants that seat at least 100 patrons in which 70%+ of total revenue is derived from sales of food. After a vote in late 2015; Oldham county has become a completely wet county.

- Title: Oldham County, Kentucky
Oldham County is a county located in the commonwealth of Kentucky. As of the 2010 census, the population was 60,316. Its county seat is La Grange. The county is named for Colonel William Oldham. Oldham County was a prohibition or completely dry county until January 2005 as the result of a 2004 'moist' vote, permitting sales of alcohol in restaurants that seat at least 100 patrons in which 70%+ of total revenue is derived from sales of food. After a vote in late 2015; Oldham county has become a completely wet county.
Question: What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?
Answer: ",correct
335,alpaca-7b,hotpot_qa,Mamie Gummer played the role of Nancy Crozier on the TV series airing on what network?,The Good Wife (CBS),CBS,"Please answer the following question given the following passages:
- Title: Mamie Gummer
Mary Willa ""Mamie"" Gummer (born August 3, 1983) is an American actress. She starred in the title role of The CW series ""Emily Owens, M.D."" (2012–13), and played the recurring role of Nancy Crozier on ""The Good Wife"" (2010–15). She has also appeared in the films ""Evening"" (2007), ""Side Effects"" (2013), ""Cake"" (2014), and ""Ricki and the Flash"" (2015). She was nominated for the 2016 Drama Desk Award for Outstanding Actress in a Play for the original production of ""Ugly Lies the Bone"".

- Title: The Good Wife
The Good Wife is an American legal and political drama television series that aired on CBS from September 22, 2009, to May 8, 2016. The series focuses on Alicia Florrick, the wife of the Cook County State's Attorney, who returns to her career in law after the events of a public sex and political corruption scandal involving her husband. The series, created by Robert and Michelle King, stars Julianna Margulies, Josh Charles, Christine Baranski, Matt Czuchry, Archie Panjabi, and Alan Cumming, and features Chris Noth in a recurring role. The executive producers are Ridley Scott, Charles McDougall, and David W. Zucker. ""The Good Wife"" is a heavily serialized show featuring several story arcs that carry over several episodes, as well as stand-alone procedural storylines that are concluded by the end of each episode. The serial plots have been especially showcased in its highly praised fifth season. This is a rarity among ""The Good Wife""' s broadcaster CBS, as most of its shows are procedural.
Question: Mamie Gummer played the role of Nancy Crozier on the TV series airing on what network?
Answer: ",correct
449,alpaca-7b,hotpot_qa,"Chimaja Appawas the younger brother of a general of the Maratha Empire in India, who served as what to the fifth Maratha Chhatrapati Shahu from 1720 until his death?","Baji Rao I was the younger brother of Chimaji Appa, who served as Peshwa (Prime Minister) to the fifth Maratha Chhatrapati Shahu from 1720 until his death.","""Peshwa"" (Prime Minister)","Please answer the following question given the following passages:
- Title: Chimaji Appa
Shreemant Chimaji Ballal Peshwa (aka Chimaji Appa)(1707–1740) was the son of Balaji Vishwanath Bhat and the younger brother of Bajirao Peshwa of Maratha Empire. He was an able military commander who liberated the western coast of India from Portuguese rule. The high watermark of his career was the capture of Vasai fort from the Portuguese in a hard fought battle.

- Title: Baji Rao I
Baji Rao (18 August 1700 – 28 April 1740) was a general of the Maratha Empire in India. He served as ""Peshwa"" (Prime Minister) to the fifth Maratha Chhatrapati (Emperor) Shahu from 1720 until his death. He is also known by the name Bajirao Ballal.

- Title: Baji Rao I
Baji Rao (18 August 1700 – 28 April 1740) was a general of the Maratha Empire in India. He served as ""Peshwa"" (Prime Minister) to the fifth Maratha Chhatrapati (Emperor) Shahu from 1720 until his death. He is also known by the name Bajirao Ballal.
Question: Chimaja Appawas the younger brother of a general of the Maratha Empire in India, who served as what to the fifth Maratha Chhatrapati Shahu from 1720 until his death?
Answer: ",correct
478,alpaca-7b,hotpot_qa,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,United States.,Armenian,"Please answer the following question given the following passages:
- Title: Art Laboe
Art Laboe (born Arthur Egnoian on August 7, 1925) is an Armenian American disc jockey, songwriter, record producer, and radio station owner, generally credited with coining the term ""Oldies But Goodies"".

- Title: Scout Tufankjian
Scout Tufankjian is an Armenian-American photojournalist and author based in Brooklyn, New York. She is well known for her photos of American President Barack Obama during his campaign leading up to his presidency. She is also known for her photojournalism work on the Armenian diaspora.
Question: What is the shared country of ancestry between Art Laboe and Scout Tufankjian?
Answer: ",incorrect
719,alpaca-7b,hotpot_qa,What football league did John Moncur belong to during his time at Ipswich Town F.C.?,"John Moncur played in the Championship, the second tier of the English football league system, while at Ipswich Town F.C.",Championship,"Please answer the following question given the following passages:
- Title: John Moncur
John Frederick Moncur (born 22 September 1966) is an English former footballer. He played in midfield for Tottenham Hotspur, Swindon Town and West Ham United. While at White Hart Lane he went on loan to Doncaster Rovers, Cambridge United, Portsmouth, Brentford and Ipswich Town.

- Title: Ipswich Town F.C.
Ipswich Town Football Club ( ; also known as Ipswich, The Blues, Town, or The Tractor Boys) is a professional association football club based in Ipswich, Suffolk, England. They play in the Championship, the second tier of the English football league system, having last appeared in the Premier League in the 2001–02 season.
Question: What football league did John Moncur belong to during his time at Ipswich Town F.C.?
Answer: ",incorrect
735,alpaca-7b,hotpot_qa,Are both Disney Magazine and The Ring still in publication?,"Yes, both Disney Magazine and The Ring are still in publication.",no,"Please answer the following question given the following passages:
- Title: Disney Magazine
Disney Magazine was an official Disney magazine that was published quarterly from December 1965 to April 2005.

- Title: The Ring (magazine)
The Ring (often called The Ring magazine or Ring TV) is an American boxing magazine that was first published in 1922 as a boxing and wrestling magazine. As the sporting legitimacy of professional wrestling came more into question, ""The Ring"" shifted to becoming exclusively a boxing oriented publication. The magazine is currently owned by Oscar De La Hoya's Golden Boy Enterprises, which acquired it in 2007.

- Title: The Ring (magazine)
The Ring (often called The Ring magazine or Ring TV) is an American boxing magazine that was first published in 1922 as a boxing and wrestling magazine. As the sporting legitimacy of professional wrestling came more into question, ""The Ring"" shifted to becoming exclusively a boxing oriented publication. The magazine is currently owned by Oscar De La Hoya's Golden Boy Enterprises, which acquired it in 2007.
Question: Are both Disney Magazine and The Ring still in publication?
Answer: ",correct
808,alpaca-7b,hotpot_qa," Force India VJM10 is a Formula One racing car previous driven by Nico Hülkenberg, and is now driven by which driver born 17 September 1996?",Esteban Ocon.,Esteban Ocon,"Please answer the following question given the following passages:
- Title: Force India VJM10
The Force India VJM10 is a Formula One racing car designed and constructed by Force India to compete during the 2017 Formula One season. The car is driven by Sergio Pérez and Esteban Ocon, who joined the team after Nico Hülkenberg left the team at the end of the season. It made its competitive début at the 2017 Australian Grand Prix.

- Title: Force India VJM10
The Force India VJM10 is a Formula One racing car designed and constructed by Force India to compete during the 2017 Formula One season. The car is driven by Sergio Pérez and Esteban Ocon, who joined the team after Nico Hülkenberg left the team at the end of the season. It made its competitive début at the 2017 Australian Grand Prix.

- Title: Esteban Ocon
Esteban Ocon (born 17 September 1996) is a French racing driver who currently drives in Formula One for Force India. He made his Formula One debut for Manor Racing in the 2016 Belgian Grand Prix, replacing Rio Haryanto. Ocon is part of the Mercedes-Benz driver development programme.
Question:  Force India VJM10 is a Formula One racing car previous driven by Nico Hülkenberg, and is now driven by which driver born 17 September 1996?
Answer: ",correct
