id,model_name,dataset,question,answer,ground_truth,prompt,human_verdict
28,alpaca-7b,natural_questions,who plays joker in batman the dark knight,Heath Ledger,Ledger,"Please answer the following question given the following passages:
- Title: Joker (The Dark Knight)
Supporting Actor in recognition of Ledger's performance in ""The Dark Knight"". Joker (The Dark Knight) The Joker is a fictional character who appears in Christopher Nolan's 2008 superhero film ""The Dark Knight"". Based upon the DC Comics character of the same name, he was played by Australian actor Heath Ledger. A psychopathic mass murderer with a sadistic sense of humor, the Joker attempts to undermine the efforts of Batman (Christian Bale), James Gordon (Gary Oldman), and Harvey Dent (Aaron Eckhart) to rid Gotham City of crime. The character embodies themes of chaos, anarchy and obsession: throughout the film, he expresses
Question: who plays joker in batman the dark knight
Answer: ",correct
104,alpaca-7b,natural_questions,who was the great wall of china built to defend against,The Great Wall of China was built to defend against invasions of various nomadic groups from the north.,nomads from Inner Asia/nomads from Inner Asia.,"Please answer the following question given the following passages:
- Title: History of the Great Wall of China
History of the Great Wall of China The history of the Great Wall of China began when fortifications built by various states during the Spring and Autumn (771–476) and Warring States periods (475–221) were connected by the first emperor of China, Qin Shi Huang, to protect his newly founded Qin dynasty (221–206) against incursions by nomads from Inner Asia. The walls were built of rammed earth, constructed using forced labour, and by 212 ran from Gansu to the coast of southern Manchuria. Later dynasties adopted different policies towards northern frontier defense. The Han (202 – 220), the Northern Qi (550–574),
Question: who was the great wall of china built to defend against
Answer: ",correct
119,alpaca-7b,natural_questions,hazels boyfriend in the fault in our stars,Hazel's boyfriend in The Fault in Our Stars is Augustus Waters.,Augustus Waters,"Please answer the following question given the following passages:
- Title: The Fault in Our Stars (film)
The Fault in Our Stars (film) The Fault in Our Stars is a 2014 American romantic tragedy film directed by Josh Boone, based on the 2012 novel of the same name by John Green. The film stars Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, and Willem Dafoe playing supporting roles. Woodley plays Hazel Grace Lancaster, a sixteen-year-old cancer patient who is forced by her parents to attend a support group, where she meets and subsequently falls in love with Augustus Waters, another cancer patient, played by Elgort. Development of ""The Fault in Our Stars"" began in January
Question: hazels boyfriend in the fault in our stars
Answer: ",correct
137,alpaca-7b,natural_questions,who is opening for little mix glory days tour,"The Vamps, Conor Maynard, Bronnie, Alistair Griffin, Ella Eyre, Sheppard, and Louisa Johnson were the opening acts on selected European dates, and Zoe Badwi, Jade Thirlwall's cousin, supported the gigs in Australia.","Sheppard, Zoe Badwi, Louisa Johnson, Bronnie, The Vamps, Ella Eyre and Conor Maynard","Please answer the following question given the following passages:
- Title: The Glory Days Tour
The Glory Days Tour The Glory Days Tour was the fourth concert tour and the second world wide tour by British girl group Little Mix, in support of their fourth studio album, ""Glory Days"". The tour began on 21 May 2017 in Birkenhead, England, and after stops in Europe, Oceania, and the United Kingdom, it ended on 26 November 2017 in London, England. The Vamps, Conor Maynard, Bronnie, Alistair Griffin, Ella Eyre, Sheppard, and Louisa Johnson were the opening acts on selected European dates, and Zoe Badwi, Jade Thirlwall's cousin, supported the gigs in Australia. Lina Makhul was the supporting
Question: who is opening for little mix glory days tour
Answer: ",incorrect
156,alpaca-7b,natural_questions,when was the minimum wage established in the united states,1938.,1938/1933/1912,"Please answer the following question given the following passages:
- Title: Minimum wage in the United States
Coast Hotel Co. v. Parrish"" (1937) and upheld the constitutionality of minimum wage legislation enacted by Washington state and overturned the ""Adkins"" decision which marked the end of the ""Lochner"" era. In 1938, the minimum wage was re-established pursuant to the Fair Labor Standards Act, this time at a uniform rate of $0.25 per hour ($4.78 in 2017 dollars). The Supreme Court upheld the Fair Labor Standards Act in ""United States v. Darby Lumber Co."" (1941), holding that Congress had the power under the Commerce Clause to regulate employment conditions. The 1938 minimum wage law only applied to ""employees engaged
Question: when was the minimum wage established in the united states
Answer: ",correct
200,alpaca-7b,natural_questions,where is simple squamous epithelium found in the body,"Simple squamous epithelium is found in many places in the body, such as in capillaries, alveoli, glomeruli, and other tissues where rapid diffusion is required.","alveoli, outer layer of skin, capillaries and glomeruli","Please answer the following question given the following passages:
- Title: Simple squamous epithelium
Simple squamous epithelium A simple squamous epithelium is a single layer of flat cells in contact with the basal lamina (one of the two layers of the basement membrane) of the epithelium. This type of epithelium is often permeable and occurs where small molecules need to pass quickly through membranes via filtration or diffusion. Simple squamous epithelia are found in capillaries, alveoli, glomeruli, and other tissues where rapid diffusion is required. Cells are flat with flattened and oblong nuclei. It is also called pavement epithelium due to its tile-like appearance. This epithelium is associated with filtration and diffusion. This tissue
Question: where is simple squamous epithelium found in the body
Answer: ",correct
218,alpaca-7b,natural_questions,who sings the song let me love you,Justin Bieber,DJ Snake featuring Justin Bieber/Justin Bieber/Singh H Spot,"Please answer the following question given the following passages:
- Title: Let Me Love You (DJ Snake song)
Let Me Love You (DJ Snake song) ""Let Me Love You"" is a song recorded by French electronic music producer DJ Snake, taken as the third single from his debut studio album, ""Encore"" (2016). It featured vocals from Canadian singer Justin Bieber. The artists co-wrote the song with Andrew Watt, Ali Tamposi, Brian Lee, and Louis Bell, while the song's production was handled by DJ Snake. The song was released on August 5, 2016, through Interscope Records. Its music video was released on YouTube on November 29, 2016. ""Let Me Love You"" is written in the key of C minor
Question: who sings the song let me love you
Answer: ",correct
330,alpaca-7b,natural_questions,who plays unis in she's the man,Amanda Bynes plays the role of Viola Hastings in the movie She's the Man.,Emily Perkins,"Please answer the following question given the following passages:
- Title: She's the Man
She's the Man She's the Man is a 2006 American romantic comedy sports film directed by Andy Fickman and starring Amanda Bynes, Channing Tatum, Laura Ramsey and Emily Perkins. It is inspired by William Shakespeare's play ""Twelfth Night"". The film centers on teenager Viola Hastings who enters her brother's school in his place, pretending to be a boy, in order to play with the boys' soccer team after her team gets cut at her school. Viola Hastings (Amanda Bynes) is a teen girl who plays for Cornwall's soccer team until the team gets cut. Meanwhile, her twin brother, Sebastian (James
Question: who plays unis in she's the man
Answer: ",incorrect
335,alpaca-7b,natural_questions,when was the first nuclear power plant opened,"1954. The first commercial nuclear power plant, the Shippingport Atomic Power Station, was opened in 1957.","December 20, 1951/June 27, 1954/On June 27, 1954/the USSR/December 2, 1942","Please answer the following question given the following passages:
- Title: Nuclear power plant
maintenance (O&M) and fuel costs are, along with hydropower stations, at the low end of the spectrum and make them suitable as base-load power suppliers. The cost of spent fuel management, however, is somewhat uncertain. Electricity was generated by a nuclear reactor for the first time ever on September 3, 1948 at the X-10 Graphite Reactor in Oak Ridge, Tennessee in the United States, which was the first nuclear power station to power a light bulb. The second, larger experiment occurred on December 20, 1951 at the EBR-I experimental station near Arco, Idaho in the United States. On June 27,
Question: when was the first nuclear power plant opened
Answer: ",incorrect
375,alpaca-7b,natural_questions,who plays hannibal in silence of the lambs,"1991 film The Silence of the Lambs, actor Anthony Hopkins portrayed the role of Dr. Hannibal Lecter.",Anthony Hopkins,"Please answer the following question given the following passages:
- Title: Red Dragon (2002 film)
Red Dragon (2002 film) Red Dragon is a 2002 horror film based on the novel of the same title by Thomas Harris. Anthony Hopkins stars as psychiatrist and serial killer, Dr. Hannibal Lecter. It is a prequel to ""The Silence of the Lambs"" (1991) and ""Hannibal"" (2001). The novel was originally adapted into the film ""Manhunter"" (1986). The film was directed by Brett Ratner and written for the screen by Ted Tally, who also wrote the screenplay for ""The Silence of the Lambs"". Hopkins reprises Lecter, a role he played twice before in ""The Silence of the Lambs"" and ""Hannibal"",
Question: who plays hannibal in silence of the lambs
Answer: ",correct
379,alpaca-7b,natural_questions,when is the publishers clearing house sweepstakes drawing,The Publishers Clearing House Sweepstakes drawing takes place on the last day of each month. The winner is selected at random from all eligible entries received during the previous month.,just after the Super Bowl,"Please answer the following question given the following passages:
- Title: Publishers Clearing House
junk-mail for advertising through mass-mailings. Documents filed with the New York State Department in 1993 said that year the company mailed 220 million envelopes. Frequent buyers can receive 30-40 mailings a year. Although PCH advertises its sweepstakes along with magazine subscriptions, no purchase is necessary to enter or win. In 1995, PCH began the tradition of announcing winners of its $10 million prize just after the Super Bowl. As of 2012, $225 million in prizes have been distributed. Some of its larger prizes are for $5,000 a week for life, or $10 million. Prizes can also range from $1 Amazon
Question: when is the publishers clearing house sweepstakes drawing
Answer: ",incorrect
404,alpaca-7b,natural_questions,where do the sharks play in san jose,"159 W San Carlos St, San Jose, CA 95113, USA",the SAP Center/SAP Center/SAP Center at San Jose,"Please answer the following question given the following passages:
- Title: SAP Center
The first event was UFC 139 on November 19, 2011, then on July 11, 2012, on April 20, 2013, and most recently on July 26, 2014. WWE Pay-Per-Views have also taken place here. Payback (2017) took place where Braun Strowman defeated Roman Reigns in the main event. is scheduled to take place at SAP Center. SAP Center The SAP Center at San Jose (originally known as the San Jose Arena) is an indoor arena located in San Jose, California. Its primary tenant is the San Jose Sharks of the National Hockey League, for which the arena has earned the nickname
Question: where do the sharks play in san jose
Answer: ",incorrect
432,alpaca-7b,natural_questions,when was the young and the restless first aired,1973.,"March 26, 1973","Please answer the following question given the following passages:
- Title: The Young and the Restless characters (2016)
The Young and the Restless characters (2016) ""The Young and the Restless"" is an American television soap opera. It was first broadcast on March 26, 1973, and airs on CBS. The following is a list of characters that first appeared on the soap opera in 2016, by order of first appearance. In the first half of the year, characters were introduced by executive producer Jill Farren Phelps until her replacement in the summer of 2016 by supervising producer Mal Young Young was first credited as executive producer on July 13, 2016. Co-executive producer and head writer Charles Pratt Jr. oversaw
Question: when was the young and the restless first aired
Answer: ",correct
441,alpaca-7b,natural_questions,who sings the song it ain't me,2019-07-19 19:59:59 (frozen-soul : 8),Selena Gomez/American singer Selena Gomez,"Please answer the following question given the following passages:
- Title: Come & Get It (Selena Gomez song)
The performance saw Gomez singing a remixed version of the song as part of a medley with ""Me & the Rhythm"". Credits and personnel adapted from ""Stars Dance"" liner notes. Come & Get It (Selena Gomez song) ""Come & Get It"" is a song recorded by American singer Selena Gomez for her first solo studio album, ""Stars Dance"" (2013). It was released on April 7, 2013 through Hollywood Records as the lead single from the album. It serves as her first official release outside of her former band, Selena Gomez & the Scene. The song was written by Norwegian production
Question: who sings the song it ain't me
Answer: ",incorrect
455,alpaca-7b,natural_questions,who sings every light in the house is on,Trace Adkins,Trace Adkins,"Please answer the following question given the following passages:
- Title: Every Light in the House
album ""Did I Shave My Back for This?"", country parodist Cledus T. Judd parodied the song as ""Every Light in the House Is Blown"". Trace Adkins is featured in the music video. Every Light in the House ""Every Light in the House"" is a song written by Kent Robbins and recorded by American country music artist Trace Adkins. It was released in August 1996 as the second single from his debut album ""Dreamin' Out Loud"". It was his first Top 5 single on the Hot Country Singles & Tracks (now Hot Country Songs) chart, where it peaked at #3. The
Question: who sings every light in the house is on
Answer: ",correct
